Z3700_Compressor_Screw_CapacityControl(ZI-Z37050/AI1.PV),Z3700_Compressor_Screw_CaseVibrationNDEMaleRotor(VI-V37050/AI1.PV),Z3700_Compressor_Screw_DischargePressure(PI-P37051/AI1.PV),Z3700_Compressor_Screw_DischargeTemperature(TI-T37051/AI1.PV),Z3700_Compressor_Screw_SuctionPressure(PI-P37050/AI1.PV),Z3700_Compressor_Screw_SuctionTemperature(TI-T37050/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureCold(TI-T37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingFluidTemperatureWarm(TI-T37131/AI1.PV),Z3700_CoolingSystemCollection_CoolingMassFlow(FI-F37130/AI1.PV),Z3700_CoolingSystemCollection_CoolingPressure(PI-P37130/AI1.PV),Z3700_HeatExchanger_InletTemperatureHot(TI-T37054/AI1.PV),Z3700_HeatExchanger_OutletTemperatureHot(TI-T37053/AI1.PV),Z3700_Motor_Current(II-37062/AI1.PV),Z3700_Motor_RadialBearingDETemperature1(TI-T37059/AI1.PV),Z3700_Motor_RadialBearingNDETemperature1(TI-T37060/AI1.PV),Z3700_Motor_StatorTemperatureA1(TI-T37056/AI1.PV),Z3700_Motor_StatorTemperatureB1(TI-T37057/AI1.PV),Z3700_Motor_StatorTemperatureC1(TI-T37058/AI1.PV),Z3700_OilSystem_OilPressure1(PI-P37054/AI1.PV),Z3700_OilSystem_OilPressure2(PI-P37053/AI1.PV),Z3700_OilSystem_OilTemperature(TI-T37055/AI1.PV),Z3700_Vessel_VesselLevel(LI-L37050-1/AI1.PV),OutsideTemperature
100,0.8,13,70.7000046,5.33,7.700002,28.5687065,31.6062031,1313.56726,4.989795,16.1000023,11.500001,22,62.3000031,44.2,78.5,76.9,72.5,16.1,11.5,51.3000031,54.37,27.22500038
98,1,12.8,69.4,5.59,7.59999752,28.5687065,31.53706,1315.97461,4.989795,16.2999935,11.500001,20,61.9,43.9,78.5,77,72.5,16.2,11.4,52,52.98,27.05000114
100,1,13,72.8,5.2699995,6.5,28.5687065,31.3558617,1319.19116,4.989795,16.2999935,10.3999977,22,61.3,43.9,78.7,77,72.5,16.4,11.5999994,52,53.01,27.28750038
100,1.1,13,70.50001,5.33,6.5,28.5687065,31.45123,1323.43372,4.989795,16.2999935,10.6,22,61.1999969,43.9,78.6,77.2000046,72.5,16.4,11.5999994,51.1999969,53.5000038,27.03437424
100,0.8,13.0999994,69.50001,5.29999971,6.59999847,28.5687065,31.38924,1319.51636,4.989795,16.1999931,10.6,22,61.6,43.8,78.7999954,77.4,72.5,16.4,11.5999994,52.1000023,52.579998,26.90937424
100,1,13,72.8,5.29999971,6.5,28.4733353,31.49176,1320.26819,4.989795,16.1999931,10.6,22,61.6,43.8,79,77.4,72.5,16.4,11.5999994,52.1999969,53.3900032,27.24375153
100,1,13.0999994,72,5.29,6.5,28.4733353,31.6801128,1321.87231,4.989795,16.399992,10.6999989,22,61.4,44.2,79.2,77.8,72.5,16.5,11.7,51.6999969,53.0700035,27.49687386
100,1,13.0999994,70.50001,5.30999947,6.5,28.4733353,31.5942822,1327.64258,4.989795,16.2999935,10.6,22,61.6,44.4,79.5,77.9,72.5,16.4,11.5999994,52.4000053,52.7199974,26.86562538
100,1,13,73,5.25999975,6.5,28.5234032,31.723032,1321.162,4.99980927,16.5000019,10.6999989,22,62.1,44.5,79.9,78.4,72.5,16.5,11.5999994,51.9000053,53.0700035,26.73124886
100,0.8,13.2,70.4,5.40000057,6.999999,28.5234032,31.749258,1325.01367,4.99980927,17.1999989,11.500001,22,63.1,45,80.2,78.7999954,72.5,16.4,11.7,51.3000031,51.94,26.32499886
100,1,13.2,71,5.40000057,6.5,28.5234032,31.71588,1327.3396,4.99980927,16.5000019,10.9000025,22,63.8000031,45.5,80.6,79.1,72.5,16.4,11.7,52.4000053,52.37,26.12187576
100,0.8,13,71.8,5.40000057,6.59999847,28.4065762,31.71588,1320.97913,4.99980927,16.6,11.1999989,22,64.3,45.5,80.7,79.1,72.5,16.5,11.5,51.8,52.920002,25.97500038
